date,USD,EUR
30.08.2021,26.929,31.6645
31.08.2021,26.8601,31.6963
01.09.2021,26.8928,31.8317
02.09.2021,27.0029,31.9323
03.09.2021,27.0247,32.0067
04.09.2021,27.0247,32.0067
05.09.2021,27.0247,32.0067
06.09.2021,26.9298,31.9684
07.09.2021,26.810200000000002,31.8063
08.09.2021,26.7317,31.7091
09.09.2021,26.7452,31.6315
10.09.2021,26.7264,31.624
11.09.2021,26.7264,31.624
12.09.2021,26.7264,31.624
13.09.2021,26.6782,31.5843
14.09.2021,26.692,31.4472
15.09.2021,26.6362,31.4627
16.09.2021,26.645,31.517
17.09.2021,26.6672,31.37
18.09.2021,26.6672,31.37
19.09.2021,26.6672,31.37
20.09.2021,26.7028,31.4626
21.09.2021,26.7072,31.2701
22.09.2021,26.7081,31.3566
23.09.2021,26.6714,31.2856
24.09.2021,26.5272,31.084600000000002
25.09.2021,26.5272,31.084600000000002
26.09.2021,26.5272,31.084600000000002
27.09.2021,26.6422,31.2153
28.09.2021,26.6556,31.1764
29.09.2021,26.5698,31.0335
30.09.2021,26.576,30.981
01.10.2021,26.6175,30.8231
02.10.2021,26.6175,30.8231
03.10.2021,26.6175,30.8231
04.10.2021,26.61,30.8716
05.10.2021,26.5722,30.9261
06.10.2021,26.4244,30.6536
07.10.2021,26.3503,30.4135
08.10.2021,26.3314,30.4378
09.10.2021,26.3314,30.4378
10.10.2021,26.3314,30.4378
11.10.2021,26.3515,30.4768
12.10.2021,26.36,30.5012
13.10.2021,26.349,30.4265
14.10.2021,26.349,30.4265
15.10.2021,26.349,30.4265
16.10.2021,26.349,30.4265
17.10.2021,26.349,30.4265
18.10.2021,26.3419,30.446
19.10.2021,26.3356,30.5611
20.10.2021,26.272,30.6056
21.10.2021,26.2078,30.4836
22.10.2021,26.2016,30.4934
23.10.2021,26.2918,30.5774
24.10.2021,26.2918,30.5774
25.10.2021,26.2918,30.5774
26.10.2021,26.3509,30.5749
27.10.2021,26.419,30.6791
28.10.2021,26.3712,30.6447
29.10.2021,26.3265,30.5032
30.10.2021,26.3265,30.5032
31.10.2021,26.3265,30.5032
01.11.2021,26.2767,30.5953
02.11.2021,26.2933,30.4358
03.11.2021,26.290399999999998,30.4903
04.11.2021,26.2431,30.3646
05.11.2021,26.19,30.2848
06.11.2021,26.19,30.2848
07.11.2021,26.19,30.2848
08.11.2021,26.102,30.0969
09.11.2021,26.0806,30.2026
10.11.2021,26.0927,30.2075
11.11.2021,26.0575,30.1186
12.11.2021,26.1022,29.9144
13.11.2021,26.1022,29.9144
14.11.2021,26.1022,29.9144
15.11.2021,26.1107,29.9007
16.11.2021,26.3371,30.1468
17.11.2021,26.4133,30.0266
18.11.2021,26.5147,29.9974
19.11.2021,26.4427,29.9688
20.11.2021,26.4427,29.9688
21.11.2021,26.4427,29.9688
22.11.2021,26.5694,29.9796
23.11.2021,26.6588,30.0591
24.11.2021,26.8604,30.2354
25.11.2021,26.9273,30.1734
26.11.2021,27.0256,30.3376
27.11.2021,27.0256,30.3376
28.11.2021,27.0256,30.3376
29.11.2021,27.1033,30.5752
30.11.2021,27.1739,30.6481
01.12.2021,27.2142,30.9221
02.12.2021,27.2296,30.8443
03.12.2021,27.2933,30.9438
04.12.2021,27.2933,30.9438
05.12.2021,27.2933,30.9438
06.12.2021,27.2981,30.8277
07.12.2021,27.3791,30.9055
08.12.2021,27.3317,30.7277
09.12.2021,27.2167,30.7698
10.12.2021,27.1013,30.6773
11.12.2021,27.1013,30.6773
12.12.2021,27.1013,30.6773
13.12.2021,27.0241,30.4521
14.12.2021,26.8846,30.3272
15.12.2021,26.9985,30.534
16.12.2021,27.196,30.6186
17.12.2021,27.1929,30.8435
18.12.2021,27.1929,30.8435
19.12.2021,27.1929,30.8435
20.12.2021,27.2483,30.8573
21.12.2021,27.2846,30.7661
22.12.2021,27.2598,30.7859
23.12.2021,27.2508,30.8084
24.12.2021,27.2747,30.845
25.12.2021,27.2747,30.845
26.12.2021,27.2747,30.845
27.12.2021,27.2747,30.845
28.12.2021,27.2306,30.8196
29.12.2021,27.2235,30.8401
30.12.2021,27.2077,30.776
31.12.2021,27.2782,30.9226
